new_main_category,tag,sentiment,term,score,review_count,word_count
Haircare,Packing,negative,horrible,0.020405212,1354,50
Haircare,Packing,negative,fake,0.019925839,1354,50
Haircare,Packing,negative,order,0.019320368,1354,50
Haircare,Packing,negative,waste,0.019137148,1354,50
Haircare,Packing,negative,work,0.018129421,1354,50
Haircare,Packing,negative,everywhere,0.016834114,1354,50
Haircare,Packing,negative,tried,0.01636203,1354,50
Haircare,Packing,negative,leaked,0.01539255,1354,50
Haircare,Packing,negative,reviews,0.014898149,1354,50
Haircare,Packing,negative,delivered,0.014790205,1354,50
Haircare,Packing,negative,unfortunately,0.014445678,1354,50
Haircare,Packing,negative,scent,0.01381845,1354,50
Haircare,Packing,negative,wrap,0.013284346,1354,50
Haircare,Packing,negative,purchase,0.012851606,1354,50
Haircare,Packing,negative,purchased,0.012571571,1354,50
Haircare,Packing,negative,bar,0.011149324,1354,50
Haircare,Packing,positive,damaged,0.174301395,5591,50
Haircare,Packing,positive,delivery,0.133921792,5591,50
Haircare,Packing,positive,fast,0.068008568,5591,50
Haircare,Packing,positive,used,0.053027759,5591,50
Haircare,Packing,positive,works,0.049629959,5591,50
Haircare,Packing,positive,smell,0.042549056,5591,50
Haircare,Packing,positive,sealed,0.041981437,5591,50
Haircare,Packing,positive,price,0.040640396,5591,50
Haircare,Packing,positive,amazing,0.03723575,5591,50
Haircare,Packing,positive,quick,0.033928715,5591,50
Haircare,Packing,positive,top,0.033910597,5591,50
Haircare,Packing,positive,better,0.031374777,5591,50
Haircare,Packing,positive,recommend,0.029439771,5591,50
Haircare,Packing,positive,wrapped,0.028833913,5591,50
Haircare,Packing,positive,scent,0.028497438,5591,50
Haircare,Packing,positive,received,0.02765358,5591,50
Haircare,Packing,positive,plastic,0.026393031,5591,50
Haircare,Packing,positive,packaging,0.025243898,5591,50
Haircare,Packing,positive,protection,0.024880056,5591,50
Haircare,Packing,positive,order,0.024726277,5591,50
Haircare,Packing,positive,opened,0.023957753,5591,50
Haircare,Packing,positive,spilled,0.023223694,5591,50
Haircare,Packing,positive,package,0.022209724,5591,50
Haircare,Packing,positive,happy,0.022177831,5591,50
Haircare,Packing,positive,item,0.020722571,5591,50
Haircare,Packing,positive,definitely,0.020618244,5591,50
Haircare,Packing,positive,long,0.020514208,5591,50
Haircare,Packing,positive,perfect,0.020337078,5591,50
Haircare,Packing,positive,inside,0.020244646,5591,50
Haircare,Packing,positive,tried,0.020233745,5591,50
Haircare,Packing,positive,shipping,0.020224095,5591,50
Haircare,Packing,positive,bag,0.019530206,5591,50
Haircare,Packing,positive,open,0.01936292,5591,50
Haircare,Packing,positive,little,0.018433544,5591,50
Haircare,Packing,positive,tape,0.017720557,5591,50
Haircare,Packing,positive,need,0.01760668,5591,50
Haircare,Packing,positive,purchase,0.017191453,5591,50
Haircare,Packing,positive,work,0.017122776,5591,50
Haircare,Packing,positive,down,0.01706838,5591,50
Haircare,Packing,positive,super,0.016553045,5591,50
Haircare,Packing,positive,thank,0.01599773,5591,50
Haircare,Packing,positive,lot,0.015539339,5591,50
Haircare,Packing,positive,pump,0.015478264,5591,50
Haircare,Packing,positive,oil,0.015404064,5591,50
Haircare,Packing,positive,packaged,0.015139314,5591,50
Haircare,Packing,positive,worth,0.015047461,5591,50
Haircare,Packing,positive,natural,0.014907285,5591,50
Haircare,Packing,positive,seller,0.014736252,5591,50
Haircare,Packing,positive,wrap,0.013460995,5591,50
Haircare,Packing,positive,bar,0.012664874,5591,50
Haircare,Quality,negative,dry,0.112823899,17330,50
Haircare,Quality,negative,smell,0.06925682,17330,50
Haircare,Quality,negative,used,0.064498254,17330,50
Haircare,Quality,negative,scalp,0.048885327,17330,50
Haircare,Quality,negative,soft,0.03941111,17330,50
Haircare,Quality,negative,oily,0.038750402,17330,50
Haircare,Quality,negative,thick,0.037739181,17330,50
Haircare,Quality,negative,leaves,0.035844737,17330,50
Haircare,Quality,negative,work,0.034301329,17330,50
Haircare,Quality,negative,horrible,0.034264273,17330,50
Haircare,Quality,negative,terrible,0.032439611,17330,50
Haircare,Quality,negative,hard,0.03231385,17330,50
Haircare,Quality,negative,little,0.030349012,17330,50
